,Product Details,ASIN,Brand,Price,Sales,Revenue,BSR,FBA Fees,Active Sellers #,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Delivery,Dimensions,Weight,Creation Date
72,Tanqueray London Dry Gin 1 Litre,B005RYHCUU,Tanqueray,20,10210,204200,87,5.05,5,5,5162,4,196,Amazon,"Beer, Wine & Spirits",Large Oversize,AMZ,3.9x10.2x3.7,3.44,07-08-2011
73,Chocolate Lovers Ultimate Hamper Lunar Box - Huge Selection of Your Favourite Chocolate Bars,B084WQJ5G7,A-Z Sweetshop,21.5,4635,99653,72,6.2,1,5,2899,6,0,CB UK LTD,Hampers & Gourmet Gifts,Large Oversize,FBA,8.9x13.0x1.9,3.13,2/18/2020
74,"Tassimo by Bosch Suny 'Special Edition' TAS3102GB Coffee Machine,1300 Watt, 0.8 Litre - Black",B081CYDZC1,Tassimo,29.99,10190,305598,33,8.73,22,5,5075,9,478,,Home & Kitchen,Large Oversize,AMZ,11.6x13.4x8.1,5.75,11-12-2019
75,"Nestlé KITKAT Festive Friends Xmas Variety Pack, Milk Chocolate Figures with tasty filling, approximately 100 figures with 10 different characters",B09B7Z9KG5,Nestlé,17.33,1277,22130,59,5.31,1,5,24,7,0,,Food Cupboard,Large Oversize,AMZ,7.8x11.5x3.6,2.29,7/27/2021
76,"HG 139100106 Liquid Drain Unblocker 1L - Unblocks Thoroughly and Effectively - for Blocked Drain Pipes in Handbasins, Toilets or Shower Traps",B000IU3VS0,HG,4,7687,30748,77,3.09,15,4,12196,8,115,,Grocery,Large Oversize,AMZ,3.2x10.4x3.2,2.91,9/20/2006
77,"Green & Black's Organic Tasting Collection Chocolate Bars, 395g",B00A48154S,Green & Black's,9.2,3510,32292,316,,14,5,7969,12,1339,Amazon,Food Cupboard,Large Oversize,AMZ,8.8x9.1x1.5,1.21,9/20/2011
78,"cadbury Heroes Chocolate Bulk Sharing Box, 2 kg",B095SZJGWH,Cadbury,20.69,10722,221838,83,7.31,11,5,2318,5,310,Amazon,Food Cupboard,Large Oversize,AMZ,7.9x11.5x5.0,4.89,5/19/2021
79,"Finish Rinse Aid for Shinier and Drier Dishes, LEMON, 400 ml",B008EQA7SM,Finish,2,11117,22234,83,2.46,32,5,5261,1,207,Amazon,Grocery,Large Oversize,FBA,3.7x8.8x1.7,0.97,8/20/2012
80,"Nescafe Dolce Gusto Café Au Lait Coffee Pods (16 Count of Pack of 3, Total 48 Capsules)",B007PRVELU,Dolce Gusto,10.5,10710,112455,80,4.11,15,5,8625,6,181,Amazon,Drinks,Large Oversize,AMZ,5.0x14.4x5.0,1.83,11/26/2011
81,Cadbury Dairy Milk Chocolate Gift Bar 850 g,B07CX14HPC,Cadbury,5.9,11264,66458,89,4.51,13,5,10940,6,363,,Food Cupboard,Large Oversize,MFN,6.7x17.7x0.8,2.43,8/23/2018
82,"Twinings Superblends Beetroot Tea with Ginger & Orange, 20 Teabags",B07W14FQCD,Twinings,1.35,9279,12527,96,2.37,4,5,4654,1,208,Amazon,Drinks,Standard Parcel,AMZ,3.1x5.1x2.7,0.18,11/30/2020
83,"Celebrations Chocolate Bulk Box, Christmas Chocolate Gift, Stocking Fillers, (Maltesers, Galaxy, Snickers and More), 2.4kg",B07318ZZLL,Celebrations,19.99,10280,205497,88,7.2,36,5,13902,9,213,,Food Cupboard,Large Oversize,AMZ,8.3x10.5x7.0,5.93,6/20/2017
84,Azera Americano Barista Style Instant Coffee 200 Sachets,B072L79WB9,NESCAFÉ,34.99,8352,292236,78,7.85,11,5,3235,5,67,Amazon,Drinks,Large Oversize,AMZ,5.6x9.8x5.6,1.3,4/26/2017
85,"Zoflora Pink Grapefruit 500ml, Concentrated Antibacterial Disinfectant, All Purpose Cleaner, Surface Cleaning Solution, Kills 99.9% of Bacteria and Viruses",B07S8NW8F8,Zoflora,7.93,4944,39206,87,4,5,5,373,6,20,Amazon,Grocery,Large Oversize,AMZ,3.3x8.1x2.1,1.1,01-08-2020
86,"The Jelly Bean Factory Huge Flavours, 1.4Kg",B0049ORRNQ,The Jelly Bean Factory,15.75,10174,160241,95,4.98,29,5,21146,16,440,,Food Cupboard,Large Oversize,AMZ,4.7x5.9x4.7,3.37,6/29/2011
87,"Buster Bathroom Plughole Unblocker, Dissolves hair and sludge 300ml",B08GCTPX2D,Buster,2.29,11077,25366,93,2.56,39,4,5453,9,385,Amazon,Grocery,Large Oversize,AMZ,4.8x7.2x1.6,0.86,5/31/2020
88,"Lindt Lindor Milk Chocolate Truffles Box, 600g",B0756W5PY9,Lindt,9.79,9296,91008,90,3.3,21,5,8144,11,142,Amazon,Food Cupboard,Large Oversize,AMZ,5.7x9.4x2.7,1.46,02-03-2017
89,"Fairy Platinum All in One Dishwasher Tablets, Lemon, 65 Tablets",B07W54JY5R,Fairy,9,10034,90306,98,3.39,18,5,8406,7,179,Amazon,Grocery,Large Oversize,AMZ,10.3x12.0x2.5,2.6,09-01-2019
90,"Finish 0% Dishwasher Tablets Free From Preservatives And Fragrance, 80 Tabs",B07XLZG1JW,Finish,10,4702,47020,92,3.48,16,5,1475,7,0,Amazon,Grocery,Large Oversize,AMZ,9.3x11.3x3.5,3.06,10-01-2019
91,"Colour Catcher Complete Action+ Laundry Sheets, Helps to Prevent Colour Run and Protects Brightness – 120 sheets",B09GPNZ7G4,Colour Catcher,9,10791,97119,84,3.06,1,,,8,0,,Grocery,Large Oversize,AMZ,6.8x8.0x4.8,0.88,9/26/2021
92,"Lindt Lindor Milk Chocolate Truffles, 26 each, 337g",B0812562RR,Lindt,5.5,9364,51502,95,2.78,18,5,9401,11,173,Amazon,Food Cupboard,Large Oversize,AMZ,5.2x8.0x2.7,0.84,9/23/2015
93,"Eco Bag 50 Heavy Duty Refuse Sacks, Black, 1x",B00EDMABPU,Eco Bag,5.23,12285,64251,85,4.94,34,5,6126,5,234,UK QUICK DISPATCH,Grocery,Large Oversize,MFN,5.7x7.8x5.3,4.98,08-07-2013
94,Cusheen Toilet Roll Bulk Buy - Pack of 60 Rolls (1 x 60 pack) Quilted White 3 Ply Toilet Rolls,B06WD1FD7Y,Cusheen,19.99,9736,194623,88,8.64,2,5,4676,7,363,Cusheen,Grocery,Large Oversize,MFN,17.3x21.7x12.4,9.92,12-01-2016
95,"Ecover Fabric Softener Apple Blossom & Almond, 50 Wash, Pack of 1",B073ZHHDQN,Ecover,2.5,10322,25805,99,3.16,16,5,9038,13,167,Amazon,Grocery,Large Oversize,AMZ,5.3x11.8x3.1,3.55,7/17/2017
96,"Freixenet Prosecco DOC, 75 cl",B07YSHB2HX,Freixenet,9,5270,47430,90,3.83,7,5,1532,4,65,Amazon,"Beer, Wine & Spirits",Large Oversize,AMZ,3.6x12.5x3.5,3.51,11/19/2019
97,"Flash Speedmop Wet Cloth Refills, Floor Cleaner, Lemon, 96 Count (24 x 4)",B07YJQSKDV,FLASH,24,1880,45120,9,8.94,22,5,8193,6,165,Amazon,"Business, Industry & Science",Large Oversize,AMZ,11.8x13.0x7.8,14.86,08-01-2019
